question,document_id
Do you have a referral program for booking credits?,faq_4
Can I get money off future bookings by referring a friend?,faq_4
"Is there a referral bonus or credit available, like €25 per referral?",faq_4
How does your referral program work for reservations?,faq_4
Do referrals give me a credit I can use on my next booking?,faq_4
What payment methods can I use to pay for my booking?,faq_2
"Do rental companies accept debit cards, cash, or PayPal?",faq_2
Which forms of payment are accepted for reservations?,faq_2
Can I pay by bank transfer or credit card when booking?,faq_2
"What kinds of payment do most rental companies take, and are there any fees for returned payments?",faq_2
Do I need to pay a deposit to book a bouncy castle?,faq_1
How much is the deposit for reserving a bouncy castle?,faq_1
Is there a non-refundable deposit required when renting a bouncy castle?,faq_1
Can I secure a bouncy castle booking without paying anything upfront?,faq_1
What deposit do I have to pay to reserve a bouncy castle?,faq_1
How much notice do I need to cancel because of bad weather?,faq_6
Can I cancel a booking for weather reasons on the same day?,faq_6
What’s the weather cancellation policy—do I need to give 24 hours notice?,faq_6
Is same-day cancellation allowed if the weather is unsafe?,faq_6
When am I allowed to cancel due to weather conditions?,faq_6
What happens if it rains on the day of my event?,faq_5
Can I cancel and get my deposit back if there’s bad weather?,faq_5
Do you refund the deposit when setup is unsafe because of wind or storms?,faq_5
"Is rescheduling allowed if there’s lightning, strong winds, or bad weather?",faq_5
What’s the policy if the weather is too bad to set up safely?,faq_5
How much room do I need for the inflatable?,faq_7
What space clearance is required around it?,faq_7
How much extra space should I leave on each side?,faq_7
Do I need 1-1.5 metres around the inflatable?,faq_7
What are the exact space requirements for setup?,faq_7
Do you give a discount if I rent for several days?,faq_3
Are there lower rates for multi-day bookings?,faq_3
Can I get a deal on a rental if I book for a few days or longer?,faq_3
Do you offer any package deals or discounts for weekday or off-season rentals?,faq_3
Is it cheaper to rent for multiple days instead of just one day?,faq_3
How early should I make a booking?,faq_0
Can I reserve my spot a year ahead of time?,faq_0
How far in advance do I need to book?,faq_0
Do you accept bookings up to 12 months ahead with a deposit?,faq_0
When should I book so I don’t miss out on popular dates?,faq_0
Can you set up a bouncy castle indoors?,faq_10
"Are inflatables allowed inside a gym, hall, or big room?",faq_10
What ceiling height do I need for an indoor bouncy castle setup?,faq_10
Can a bouncy castle be used inside for an overnight rental?,faq_10
Do you do indoor setups for bouncy castles in halls or gymnasiums?,faq_10
What happens if the setup area is inaccessible or dangerous?,faq_9
Will I get a refund if your team can't set up because the location is unsafe?,faq_9
"If the delivery crew can't access the site safely, do I lose my booking fee?",faq_9
What if the terrain is hard to reach or there are low power lines—can you still set up?,faq_9
Is the booking fee refunded when setup can't be done due to unsafe conditions?,faq_9
"Can you set up a bouncy castle on grass, concrete, or asphalt?",faq_8
What surfaces are OK for an inflatable bouncy castle setup?,faq_8
