conversation_id,prior_user_turns,follow_up_question,document_id
1,We're planning my son's birthday party and want to lock in a date.;It's probably going to be on a Saturday in June.,How soon should I get this set up?,faq_0
2,Do you still have any openings for next spring?;We're just starting to compare a few options.,How early should I reserve mine?,faq_0
3,"We haven't picked the exact day yet, but we're aiming for a holiday weekend.;I don't want to miss out if spots go fast.",How far ahead do people usually take care of it?,faq_0
4,I'm helping organize a school field day.;We may need to hold a date before the PTA meeting.,Can I put this on the calendar well ahead of time?,faq_0
5,We're thinking about a backyard party later this year.;The date is flexible right now.,When should I get in touch about it?,faq_0
6,"Hi, I’m looking at booking for my son’s birthday next month.;Do you usually hold dates without payment?","So for that date, is one needed?",faq_1
7,"We’re comparing a couple of weekend options.;If we pick one, what do we need to pay up front?","And for this one, is a deposit part of it?",faq_1
8,I have an event on Saturday afternoon.;I just want to make sure I can lock it in early.,Can I secure it without putting anything down?,faq_1
9,We’re planning a school fundraiser in June.;I’m trying to figure out the booking steps.,"Before it’s reserved, do we need to pay anything now?",faq_1
10,"I found one that looks perfect for our garden party.;The date is still open, I think.","To keep that slot, does anything need to be paid first?",faq_1
11,I’m thinking about reserving a castle for my son’s birthday.;Do you need a deposit up front?,And what do you take for the rest?,faq_2
12,We’re planning a backyard party next month.;I want to make sure I can pay in a way that works for us.,What options do you usually accept?,faq_2
13,Can I book one for Saturday?;I’m trying to sort out the money part first.,Which ways can I send it?,faq_2
14,I’m comparing a couple of rental places.;Some of them are a bit picky about payment.,What are they usually okay with?,faq_2
15,I might reserve one for a school event.;Our office sometimes pays differently depending on the vendor.,How can we handle the payment on this one?,faq_2
16,I'm looking at a bounce house for my son's birthday.;We might need it for Friday through Sunday.,Do you have anything better for that longer stretch?,faq_3
17,We're planning a neighborhood party next month.;It may run all weekend if the weather is good.;I'd like to keep the cost down.,Is there a better rate for the whole thing?,faq_3
18,I need a unit for a school fundraiser.;Possibly Monday to Wednesday.;Are there any special pricing options?,What about for those extra days?,faq_3
19,We're comparing a couple rental companies.;Our event could start Friday and end Monday.;It might be during a slower part of the season.,Can you do anything on the price for that?,faq_3
20,We may want it for two or three days.;The dates are still flexible.;I'm just trying to see what makes sense financially.,Would there be a better deal on that setup?,faq_3
21,I booked with you last year and my sister is looking for a castle too.;Is there any kind of discount if she books because I sent her?,Would that credit carry over to my next booking?,faq_4
22,"We are planning a few parties this summer.;If I bring in another customer, is there anything for that?",How does that work for future bookings?,faq_4
23,"My neighbor asked who we used for the birthday setup.;If she rents from you, do I get anything out of it?",Can I use it on a later order?,faq_4
24,I might recommend you to a couple of friends.;I am just wondering if there is some sort of reward for that.,What happens with it when I book again?,faq_4
25,I am setting up for my kids birthday and might send a few people your way.;Do you ever give customers anything for referrals?,Could that be applied to another rental later?,faq_4
26,"We’re looking at a party next month and want to save a date.;If plans change, what happens with the booking?","And if we need to back out later, how does that work?",faq_5
27,I’m comparing a few weekend options for my kid’s birthday.;Can I make a reservation now and sort the details later?,"Also, if we end up not using it, what’s the policy for that?",faq_5
28,We might do the event outdoors if the weather cooperates.;I’m trying to figure out the safest date to lock in.,"If we have to change our minds after booking, what applies?",faq_5
29,Can you hold the date for a school fundraiser?;I’m just checking the steps before I send anything over.,"If the event gets canceled, what happens to it all?",faq_5
30,I’m narrowing down our spring weekend plans.;I’ll probably pay a deposit once we decide.,"And if we need to drop it later, what would be charged?",faq_5
